epoch,train_total,train_recon,val_mae,val_rmse,grad_norm_mean,grad_norm_max,per_coeff_mae_mean,per_coeff_mae_max,gaussian_coverage
191,0.446676259691065,0.446676259691065,0.9057018160820007,1.9732564687728882,,,0.9976662,1.2010065,
192,0.4439594041217457,0.4439594041217457,0.901752382516861,1.964858889579773,,,0.996204,1.2001752,
193,0.444955744526603,0.444955744526603,0.905965268611908,1.970855474472046,,,0.99906033,1.1979127,
194,0.4405640661716461,0.4405640661716461,0.8984594643115997,1.959410548210144,,,0.99155736,1.1887912,
195,0.4393815750425512,0.4393815750425512,0.9026214182376862,1.962896466255188,,,0.9944656,1.1856596,
196,0.44306449727578595,0.44306449727578595,0.900900810956955,1.9604232907295227,,,0.99225384,1.1892645,
197,0.441393025896766,0.441393025896766,0.8968516290187836,1.9543216824531555,,,0.9907248,1.1941874,
198,0.44079481200738385,0.44079481200738385,0.8963949680328369,1.9522322416305542,,,0.9900644,1.1843415,
199,0.4415161203254353,0.4415161203254353,0.9000773727893829,1.9564374685287476,,,0.9920134,1.1845028,
200,0.44431074370037427,0.44431074370037427,0.9068755209445953,1.9799846410751343,0.13923305338407446,0.16706724017077063,1.0027922,1.1904733,100.0
201,0.44547696005214343,0.44547696005214343,0.9067630767822266,1.9795912504196167,,,1.0033973,1.1826088,
202,0.4441888251087882,0.4441888251087882,0.9045449793338776,1.9724013209342957,,,1.0020183,1.18315,
203,0.4471592903137207,0.4471592903137207,0.9004159867763519,1.9685302376747131,,,0.99773705,1.1824069,
204,0.44428663091226056,0.44428663091226056,0.9095079600811005,1.9800786972045898,,,1.0087959,1.1997551,
205,0.44270139932632446,0.44270139932632446,0.896716982126236,1.949502944946289,,,0.9903343,1.1825461,
206,0.4395422231067311,0.4395422231067311,0.8976301550865173,1.9478829503059387,,,0.9903037,1.1822238,
207,0.4414932240139354,0.4414932240139354,0.9009263217449188,1.9504910111427307,,,0.9966489,1.1972345,
208,0.44003780592571606,0.44003780592571606,0.892760694026947,1.939959168434143,,,0.98547673,1.1747581,
209,0.4404779076576233,0.4404779076576233,0.8978237509727478,1.9420741200447083,,,0.9919781,1.1831962,
210,0.44373738494786347,0.44373738494786347,0.8984357416629791,1.941606044769287,,,0.9942905,1.2021623,
211,0.4404978481206027,0.4404978481206027,0.894786924123764,1.937433898448944,,,0.9871881,1.1772794,
212,0.43690531904047186,0.43690531904047186,0.9000931978225708,1.9441398978233337,,,0.9954318,1.2037815,
213,0.4416255056858063,0.4416255056858063,0.8968347609043121,1.9385431408882141,,,0.99272996,1.2010055,
214,0.4389508772980083,0.4389508772980083,0.8973205089569092,1.9409399032592773,,,0.9916153,1.1951658,
215,0.4397594630718231,0.4397594630718231,0.894600123167038,1.936045527458191,,,0.9879666,1.1926152,
216,0.44472742080688477,0.44472742080688477,0.8941875994205475,1.9365835785865784,,,0.98774904,1.1922258,
217,0.44256797432899475,0.44256797432899475,0.8981889486312866,1.942321240901947,,,0.9915184,1.1947529,
218,0.44256105477159674,0.44256105477159674,0.9002353250980377,1.9445140361785889,,,0.9946851,1.188958,
219,0.4380082840269262,0.4380082840269262,0.8958260416984558,1.9358891248703003,,,0.9881945,1.1920395,
220,0.44203624400225555,0.44203624400225555,0.8955094516277313,1.9371244311332703,,,0.9875756,1.1868377,
221,0.4403540708801963,0.4403540708801963,0.9011392593383789,1.945336103439331,,,0.9963861,1.192281,
222,0.4411522989923304,0.4411522989923304,0.8985203504562378,1.9380555748939514,,,0.9926043,1.1963085,
223,0.44074816324494104,0.44074816324494104,0.8971433341503143,1.936191439628601,,,0.99066967,1.1864021,
224,0.4410551894794811,0.4410551894794811,0.8957808613777161,1.9342290163040161,,,0.989154,1.1793144,
225,0.4425395998087796,0.4425395998087796,0.8982460796833038,1.9352045059204102,,,0.9927975,1.1874814,
226,0.439688268032941,0.439688268032941,0.8991003930568695,1.93510901927948,,,0.99417925,1.1933192,
227,0.44057362187992444,0.44057362187992444,0.8973163366317749,1.9337366223335266,,,0.9913297,1.187488,
228,0.4367054348642176,0.4367054348642176,0.8950547277927399,1.9298624992370605,,,0.9879294,1.1792545,
229,0.4415235356851058,0.4415235356851058,0.8936152160167694,1.927788496017456,,,0.98750067,1.1723784,
230,0.43960068171674554,0.43960068171674554,0.8976543247699738,1.9328432083129883,,,0.9920331,1.1716517,
231,0.4387820146300576,0.4387820146300576,0.8920034170150757,1.9240780472755432,,,0.984466,1.1681962,
232,0.43948303027586505,0.43948303027586505,0.8933761119842529,1.9249913692474365,,,0.9862073,1.1717229,
233,0.44001457366076385,0.44001457366076385,0.8920161426067352,1.921672523021698,,,0.98426396,1.1650316,
234,0.4365350062196905,0.4365350062196905,0.8895757794380188,1.918354094028473,,,0.981588,1.1605765,
235,0.4371300664815036,0.4371300664815036,0.8906220197677612,1.92287278175354,,,0.983467,1.170725,
236,0.4359709159894423,0.4359709159894423,0.888412356376648,1.9170787334442139,,,0.98161924,1.1594692,
237,0.43763388016007165,0.43763388016007165,0.8912842273712158,1.919249415397644,,,0.9844376,1.1606764,
238,0.4379561814394864,0.4379561814394864,0.8890880942344666,1.9179142117500305,,,0.9813813,1.1566672,
239,0.4370631819421595,0.4370631819421595,0.8953078985214233,1.9252926111221313,,,0.9844425,1.1603194,
240,0.4359758631749587,0.4359758631749587,0.8933231830596924,1.9225425720214844,,,0.98162603,1.1517539,
241,0.43565740368582984,0.43565740368582984,0.89588463306427,1.9250890612602234,,,0.9864143,1.1622821,
242,0.4357573281634938,0.4357573281634938,0.8943512439727783,1.9222010374069214,,,0.9842869,1.1610813,
243,0.4381708665327592,0.4381708665327592,0.8903732895851135,1.9172725081443787,,,0.9787206,1.1469129,
244,0.4364846104925329,0.4364846104925329,0.8916949927806854,1.9197975397109985,,,0.9812061,1.1559002,
245,0.4393641813234849,0.4393641813234849,0.8908480107784271,1.9234364032745361,,,0.9800069,1.15581,
246,0.43985493887554517,0.43985493887554517,0.8919453918933868,1.9238916039466858,,,0.98154783,1.1547716,
247,0.44063478437337006,0.44063478437337006,0.8911057114601135,1.9212501645088196,,,0.9804593,1.1528395,
248,0.4349006143483249,0.4349006143483249,0.8935084939002991,1.9230759739875793,,,0.9841227,1.1631054,
249,0.4376953488046473,0.4376953488046473,0.8946220576763153,1.9223529696464539,,,0.9856032,1.1609298,
250,0.4392796077511527,0.4392796077511527,0.892236590385437,1.9189093708992004,0.1543744360264558,0.22191454304503286,0.98197705,1.1591357,
251,0.4362237128344449,0.4362237128344449,0.8919146656990051,1.9202301502227783,,,0.9816807,1.1589477,
252,0.4381264258514751,0.4381264258514751,0.8937129378318787,1.9206525683403015,,,0.9832645,1.1644453,
253,0.43370783599940216,0.43370783599940216,0.8890551328659058,1.9164838790893555,,,0.97645164,1.1512846,
